,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
370,18,"ГУЗ ""Больница №16"", Волгоград",больница,"г. Волгоград, ул. Пятиморская, д. 7 ",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.5113101,44.5807103
371,19,"ГБУЗ ""Городская больница №2"", Волжский",поликлиника,"г Волжский, ул Пушкина д.49",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.789189,44.787667
372,20,"ГБУЗ ""Камышинская детская городская больница"", Камышин ",больница,"Волгоградская область, г.Камышин, ул. Мира, 6",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.1031943,45.414981
373,21,"ГУЗ ""Детская клиническая поликлиника № 15""",поликлиника,"г. Волгоград, пр. Жукова, 173",х,дети,1,1,1,0,0,https://zhit-vmeste.ru/map/,48.752702,44.4822184
374,22,"ГБУЗ ""Волгоградский областной клинический онкологический диспансер "", Волжский",поликлиника,"г. Волжский, ул. Комсомольская, 25",х,все возрастные категории,1,1,1,2,2,https://zhit-vmeste.ru/map/,48.802028,44.74259199999999
375,23,"ГУЗ ""Детская больница № 1""",больница,"г Волгоград, ул им Кирова д.149б",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6205605,44.4282367
376,24,"ГБУЗ ""Волгоградская областная клиническая психиатрическая больница № 2"", Волгоград",поликлиника,"г Волгоград, ул Ангарская д.13",х,все возрастные категории,1,1,1,1,0,https://zhit-vmeste.ru/map/,48.7142545,44.4895778
377,25,"ГБУЗ ""Волгоградская областная детская клиническая психиатрическая больница"" (Центр психического здоровья детей и подростков), Волгоград",больница,"г. Волгоград, ул. им. Глазкова, 15 а (стационар)",х,дети,1,1,1,1,0,https://zhit-vmeste.ru/map/,48.729962,44.536207
378,26,"ГАУЗ "" Клиническая стоматологическая поликлиника №3""",поликлиника,"г. Волгоград, ул. Быкова, 8 ",х,все возрастные категории,0,0,0,0,0,https://zhit-vmeste.ru/map/,48.7968322,44.5949859
379,27,"ГБУЗ ""Волгоградская областная клиническая больница № 1"", Волгоград",больница,"Волгоград, ул. Ангарская, 13, хирургический корпус №11",х,взрослое население,0,0,2,0,0,https://zhit-vmeste.ru/map/,48.7142545,44.4895778
380,28,"ГБУЗ ""Городская клиническая больница № 3""",больница,"г.Волжский, ул. Свердлова, 36",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,0,https://zhit-vmeste.ru/map/,48.7990874,44.7510261
381,29,"ГБУЗ ""Городская клиническая больница № 3""",поликлиника,"г. Волжский, ул. Пушкина, 12 ",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,0,https://zhit-vmeste.ru/map/,48.80082179999999,44.7517016
382,30,"ГБУЗ ""Даниловская ЦРБ""",поликлиника,"Волгоградская область, Даниловский р-н р.п. Даниловка ул. Северная, 31 (стационар, поликлиника)",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.3630018,44.1173293
383,31,"ГБУЗ ""Михайловская детская городская больница""",больница,"г.Михайловка, ул. Леваневского, 2",х,дети,2,0,2,2,0,https://zhit-vmeste.ru/map/,50.0684392,43.2393149
384,32,"ГБУЗ ""Николаевская ЦРБ"" ",поликлиника,"г.Николаевск ул. Октябрьская, 38 (поликлиника)",х,все возрастные категории,0,0,2,2,0,https://zhit-vmeste.ru/map/,50.0244704,45.44437010000001
385,33,"ГБУЗ ""Еланская ЦРБ""",поликлиника,"Волгоградская область,Еланский р-н р.п. Елань ул. Мира, 1 (Детская поликлиника)",х,дети,0,0,2,2,2,https://zhit-vmeste.ru/map/,50.9537013,43.7307386
386,34,"ГБУЗ ""Волгоградский областной клинический противотуберкулезный диспансер""",больница,"г. Волгоград, ул. Ополченская, 40а",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.79577099999999,44.586403
387,35,"ГУЗ ""Больница № 24""",больница,"г.Волгоград, ул. им. Голубева, 1 (Хоспис)6а(сестринский уход)",х,"взрослые трудоспособного возраста, пожилые",0,0,0,0,0,https://zhit-vmeste.ru/map/,48.5261066,44.56567889999999
388,36,"ГУЗ ""Больница № 24""",поликлиника,"г. Волгоград, ул. Николаевская, 9 Территориальная поликлиника)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.708048,44.5133034
389,37,"ГУЗ ""Детская поликлиника № 6"" ",поликлиника,"г. Волгоград, ул. Череповецкая, 92а ",х,дети,1,1,1,1,2,https://zhit-vmeste.ru/map/,48.6951197,44.4662732
390,38,"ГУЗ ""Детская поликлиника № 16"" ",поликлиника,"г. Волгоград, ул. Фадеева, 53",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.5228919,44.555012
391,39,"ГУЗ ""Детская поликлиника № 16"" ",поликлиника,"г. Волгоград, Копецкого, 9",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.5131197,44.5728429
